invoicedetailid,invoiceid,productid,productprice,itemcost,consignorid,productdescription,invoicedate
7033,2748,48716,0.33,0.28,500,1 Misc Paper 12x12 Print,2019-09-20
7034,2748,18261,9.00,7.65,51,Green Patina Netal Vase,2019-09-20
7035,2749,57960,0.75,0.63,500,Mini Animal,2019-09-20
7036,2749,57960,0.75,0.63,500,Mini Animal,2019-09-20
7037,2750,59724,3.49,0.00,500,Fabric,2019-09-20
7038,2751,59725,2.99,0.00,500,Stinsil,2019-09-20
7039,2752,18297,14.00,11.90,80,Pumpkin Decor,2019-09-20
7042,2753,59727,5.79,0.00,500,Fray Check,2019-09-20
7044,2755,59729,3.99,3.39,40,Apple Sign,2019-09-20
7045,2756,77209499,12.50,10.62,1,Journey Girls Jeep,2019-09-20
7053,2762,59733,6.99,0.00,500,Poster,2019-09-20
7054,2762,49448,1.00,0.85,500,Darice-unfinished Wood-fo,2019-09-20
7058,2763,57960,0.75,0.63,500,Mini Animal,2019-09-20
7059,2763,57960,0.75,0.63,500,Mini Animal,2019-09-20
7061,2764,50089,2.49,2.11,500,Boye Anodized Tapered Thr,2019-09-20
7062,2764,50089,2.49,2.11,500,Boye Anodized Tapered Thr,2019-09-20
7064,2764,19455,5.00,4.25,81,Seahawks Cloth Microwave,2019-09-20
7069,2766,51539,9.99,8.49,500,Knitters Pride Dreamsfixe,2019-09-20
7071,2767,27191,12.99,11.04,4,Animal Print Overalls Wit,2019-09-20
7072,2767,129,1.50,1.27,44,10b Toothfairy Receipt -,2019-09-20
7074,2767,173173,5.50,4.67,9,Blue Shall,2019-09-20
7075,2767,17072,10.00,8.50,65,Blue Lamp,2019-09-20
7076,2767,18160,9.95,8.45,508,DB PALMETTO,2019-09-20
7077,2767,18148,9.95,8.45,508,DB COL MUSTARD,2019-09-20
7078,2767,17488,9.95,8.45,508,DB PAINT-FLUFF 8 0Z,2019-09-20
7080,2768,59735,4.99,0.00,500,Paint,2019-09-20
7081,2769,49317,1.00,0.85,500,Snippets Craft Tags Birch,2019-09-20
7082,2769,49317,1.00,0.85,500,Snippets Craft Tags Birch,2019-09-20
7083,2769,59737,0.99,0.00,500,Tags,2019-09-20
7085,2770,181042,8.50,7.22,31,Footstool,2019-09-20
7086,2771,16412,2.00,1.70,49,Necklace,2019-09-20
7087,2771,16742,18.00,15.30,62,Whatsoever Print #17,2019-09-20
7089,2771,57960,0.75,0.63,500,Mini Animal,2019-09-20
7090,2771,59774,14.25,0.00,500,57960,2019-09-20
7091,2772,57960,0.75,0.63,500,Mini Animal,2019-09-20
7092,2772,180843,5.00,4.25,74,Grey/Black Swaddler,2019-09-20
7093,2773,59775,4.19,0.00,500,Grommet,2019-09-20
7095,2775,59776,29.98,0.00,500,Toy,2019-09-20
7096,2775,17774,3.50,2.97,37,Burp Cloth,2019-09-20
7097,2775,17774,3.50,2.97,37,Burp Cloth,2019-09-20
7098,2775,17774,3.50,2.97,37,Burp Cloth,2019-09-20
7099,2775,17774,3.50,2.97,37,Burp Cloth,2019-09-20
7100,2776,59777,26.21,0.00,500,Fabric,2019-09-20
7102,2777,59779,9.00,0.00,500,Paint (6),2019-09-20
7103,2777,53492,0.55,0.46,500,Dmc Embroidery Floss,2019-09-20
7104,2777,53492,0.55,0.46,500,Dmc Embroidery Floss,2019-09-20
7105,2777,53492,0.55,0.46,500,Dmc Embroidery Floss,2019-09-20
7106,2777,53492,0.55,0.46,500,Dmc Embroidery Floss,2019-09-20
7107,2777,49467,1.00,0.85,500,Darice-unfinished Wood-ca,2019-09-20
7108,2777,49467,1.00,0.85,500,Darice-unfinished Wood-ca,2019-09-20
7109,2777,49467,1.00,0.85,500,Darice-unfinished Wood-ca,2019-09-20
7110,2777,49467,1.00,0.85,500,Darice-unfinished Wood-ca,2019-09-20
7111,2778,57517,4.99,4.24,70,Bitches Brew #22,2019-09-20
7112,2778,17295,5.00,4.25,511,Small Fall Bucket,2019-09-20
7115,2779,59781,1.75,0.00,500,Felt Square (5),2019-09-20
7119,2780,59792,1.39,0.00,500,Food,2019-09-20
7120,2780,59793,9.99,0.00,500,Fabric,2019-09-20
7121,2782,15803,14.00,11.90,25,Portland Print,2019-09-20
7123,2782,114420,9.99,9.99,500,Drawing Paper 9x12,2019-09-20
7126,2783,46225,1.99,1.69,500,Papercraft Large Gift Bag,2019-09-20
7129,2784,24833,1.50,0.00,500,DecoArt Acrylic Paint,2019-09-20
7131,2784,59795,2.24,0.00,500,Acrylic Paint,2019-09-20
7133,2785,48968,8.99,0.00,500,Americana-decor-satin-ena,2019-09-20
7134,2785,48968,8.99,0.00,500,Americana-decor-satin-ena,2019-09-20
7135,2785,48968,8.99,0.00,500,Americana-decor-satin-ena,2019-09-20
7136,2786,46616,1.99,1.69,500,Boye-cobone Rings-2in-5pc,2019-09-20
7137,2786,46616,1.99,1.69,500,Boye-cobone Rings-2in-5pc,2019-09-20
7138,2787,26587,2.00,1.70,59,41 Easle Picture Frame,2019-09-20
7139,2787,26958,1.50,1.27,59,41 Happy Halloween Banner,2019-09-20
7070,2767,59734,10.00,0.00,500,Pattern (5),2019-09-20
7068,2766,57034,9.99,8.49,500,Knitter's Pride Circular,2019-09-20
7067,2765,25420,20.00,17.00,24,39 - Purse,2019-09-20
7066,2765,15536,6.00,5.10,24,Scarf,2019-09-20
7065,2764,57995,9.50,8.07,10,Fall Basket,2019-09-20
7063,2764,17358,8.50,7.22,42,Gray/white Sweater Vest,2019-09-20
7060,2764,16106,1.99,0.00,500,1 Misc Fabric,2019-09-20
7057,2763,46637,1.59,1.35,500,Solid-black-eyes 6pc .47i,2019-09-20
7056,2763,46637,1.59,1.35,500,Solid-black-eyes 6pc .47i,2019-09-20
7055,2762,49462,1.00,0.85,500,Darice-unfinished Wood-he,2019-09-20
7052,2761,26903,6.00,5.10,59,41 Metal Mini Birdcage,2019-09-20
7051,2761,58243,5.95,5.05,56,Spiderweb Bracelet,2019-09-20
7050,2760,24795,3.49,0.00,500,Glow In The Dark Paint 2o,2019-09-20
7049,2759,52926,1.50,1.27,500,Dill Buttons 1066,2019-09-20
7048,2758,14696,15.00,12.75,51,Vintage Brass Ink Wells -,2019-09-20
7047,2757,59731,4.49,0.00,500,Canvsa,2019-09-20
7046,2757,16272,5.00,4.25,49,Rings,2019-09-20
7043,2754,59728,5.32,0.00,500,Fabric,2019-09-20
7041,2753,59726,4.49,0.00,500,Seam Ripper,2019-09-20
7040,2752,18301,10.00,8.50,80,Pumpkin Decor,2019-09-20
7029,2747,50132,3.99,3.39,500,Idye-poly Golden Yellow,2019-09-20
7026,2747,50132,3.99,3.39,500,Idye-poly Golden Yellow,2019-09-20
7025,2746,4215,14.00,11.90,76,Square Pint Jar/ Zinc Lid,2019-09-20
7023,2745,16242,59.00,50.15,1,White Doll House,2019-09-20
7022,2743,171,12.00,10.20,9,Little Ru- Mushroom Pilot,2019-09-20
7021,2743,15391,4.50,3.82,1,#27 Brown Bear Beanie Bab,2019-09-20
7020,2743,15391,4.50,3.82,1,#27 Brown Bear Beanie Bab,2019-09-20
7017,2734,58685,19.95,16.95,56,Fiesta Gravy Boat,2019-09-20
7015,2740,29338,6.50,5.52,42,Scarf #50,2019-09-20
7014,2740,58132,4.50,3.82,31,Autumn Branch,2019-09-20
7013,2739,16411,1.00,0.85,49,Necklace,2019-09-20
7012,2739,16411,1.00,0.85,49,Necklace,2019-09-20
7009,2737,59703,11.99,0.00,500,Fabric,2019-09-20
7008,2737,21318,11.99,10.19,17,#32 Record-american Music,2019-09-20
7007,2737,58953,1.00,0.85,54,Mini Pumpkin,2019-09-20
7006,2737,58953,1.00,0.85,54,Mini Pumpkin,2019-09-20
7004,2736,48674,2.99,2.54,500,Craft Decor Nautical Rope,2019-09-20
7001,2735,31524,5.99,5.09,22,57-brass Head,2019-09-20
7000,2735,59701,38.00,32.30,49,Ben Hur A Tale Of The Chi,2019-09-20
6999,2733,57369,12.00,10.20,51,Acorn Vase,2019-09-20
6998,2733,57554,2.99,2.54,40,Wooden Utensil,2019-09-20
6996,2731,18451,20.00,17.00,30,Dovetail Dynamite Box,2019-09-20
6994,2731,17516,35.00,29.75,8,Vintage Wood Crate,2019-09-20
6993,2732,58175,5.95,5.05,56,Cloth Pumpkin,2019-09-20
6990,2730,59699,14.95,0.00,500,Vintage Lantern ES,2019-09-20
6988,2730,15674,18.00,15.30,42,Splendid Dress,2019-09-20
6987,2730,10955,5.00,4.25,63,25 Lace Dress L Green,2019-09-20
6982,2730,19525,3.50,2.97,81,Adult Drink Cozie - As30,2019-09-20
6981,2730,57621,6.50,5.52,24,Scarf,2019-09-20
6980,2730,5949,14.00,11.90,25,Tourmaline Pendant/sterli,2019-09-20
6977,2730,30726,3.00,2.55,34,Medium Cat Toy 54,2019-09-20
6976,2730,30726,3.00,2.55,34,Medium Cat Toy 54,2019-09-20
6975,2730,5936,8.00,6.80,25,Lavender Quartz/sterling,2019-09-20
6974,2730,35127,34.00,28.90,73,Song Of Solomon #31,2019-09-20
6971,2730,177743,25.00,21.25,502,Sydney Love Bag,2019-09-20
6969,2730,59698,3.50,0.00,500,Scarf,2019-09-20
6967,2730,50531,1.39,1.18,500,Haribo Sour Gold Bears,2019-09-20
6963,2729,18253,15.95,13.55,12,Cutting Board Sign,2019-09-20
6958,2726,50531,1.39,1.18,500,Haribo Sour Gold Bears,2019-09-20
6956,2725,9330,4.99,4.24,70,Shades Of Gray #22,2019-09-20
6954,2724,8729,20.00,17.00,46,Rustic Wood Bird House- #,2019-09-20
6953,2723,59693,9.99,0.00,500,M&D,2019-09-20
6952,2722,59692,2.00,1.70,56,Basket Item,2019-09-20
6950,2721,21642,3.50,2.97,17,#32 Book-nancy Drew,2019-09-20
6949,2721,21642,3.50,2.97,17,#32 Book-nancy Drew,2019-09-20
6946,2721,21642,3.50,2.97,17,#32 Book-nancy Drew,2019-09-20
6942,2719,59255,1.49,0.00,500,Fairy Coloring Book,2019-09-20
6939,2717,29201,13.50,11.47,10,Lg Crystal Candy Dish,2019-09-20
6937,2716,49678,1.99,1.69,500,Craftwood Brass Cup Hook,2019-09-20
6936,2715,17138,9.95,8.45,36,Creme BrÃ»lÃ©e,2019-09-20
6935,2714,59675,5.50,0.00,500,Coart&clark (2),2019-09-20
6932,2714,54567,2.75,2.33,500,Coats-clark-s910 London T,2019-09-20
6931,2714,16106,3.95,0.00,500,1 Misc Fabric,2019-09-20
6929,2713,18437,5.00,4.25,73,B&W Checkered Scarf,2019-09-20
6927,2712,57427,9.00,7.65,510,Wire Basket,2019-09-20
6926,2712,59673,5.97,0.00,500,Sticker (3),2019-09-20
6925,2712,49484,1.00,0.85,500,Darice-unfinished Wood-di,2019-09-20
6923,2711,380,6.00,5.10,37,*medium Scarf - Print 11b,2019-09-20
6916,2707,57612,4.00,3.40,62,White Pumpkin Plate,2019-09-20
6915,2707,16727,3.00,2.55,62,White Pumpkin Plate #17,2019-09-20
6908,2707,25589,5.00,4.25,24,39 - Vintage Bell,2019-09-20
6905,2707,77209400,35.00,29.75,68,3 Tier Serving Piece,2019-09-20
6904,2707,59670,4.99,4.24,19,White Pitcher Ceramic,2019-09-20
6903,2706,8903,5.00,4.25,46,The Help Hardcover Book-,2019-09-20
6902,2706,59669,10.00,8.50,508,Blue Butter Dish,2019-09-20
7231,2814,26916,0.62,0.52,59,41 Oak Acorn Floral Picks,2019-09-21
7232,2814,26916,0.62,0.52,59,41 Oak Acorn Floral Picks,2019-09-21
7233,2814,26916,0.62,0.52,59,41 Oak Acorn Floral Picks,2019-09-21
7234,2814,26916,0.62,0.52,59,41 Oak Acorn Floral Picks,2019-09-21
7235,2814,153170,1.00,0.85,59,Fall Floral Swag,2019-09-21
7236,2814,17959,1.25,1.06,42,Fresh Gourd **,2019-09-21
7237,2814,17959,1.25,1.06,42,Fresh Gourd **,2019-09-21
7241,2814,17959,1.25,1.06,42,Fresh Gourd **,2019-09-21
7243,2816,59835,10.00,8.50,48,Bead Paci Clip,2019-09-21
7245,2816,58053,4.00,3.40,48,2 Leather Clips,2019-09-21
7158,2794,57902,12.00,10.20,1,Sedum Tin -tall,2019-09-21
7159,2794,41995,11.00,9.35,38,70d Swaddle Blanket,2019-09-21
7163,2795,23254,4.00,3.40,31,49 Drawer Handles -6 Piec,2019-09-21
7167,2796,16267,10.99,9.34,502,No Boogie Man,2019-09-21
7169,2797,18021,9.00,7.65,14,Blue/Green Plate,2019-09-21
7170,2797,58759,12.00,10.20,43,Old Navy Sweater,2019-09-21
7174,2799,59948,2.33,0.00,500,Fabric,2019-09-21
7177,2801,58503,10.00,8.50,42,Boys Bogs,2019-09-21
7178,2802,29662,6.00,5.10,42,Scarf #50,2019-09-21
7181,2805,59952,7.99,0.00,500,Glycerin,2019-09-21
7184,2805,59790,10.25,8.71,501,Chicken Plates,2019-09-21
7190,2806,55396,1.00,0.85,500,Jolees Boutique Manila Ta,2019-09-21
7194,2807,59832,4.50,3.82,48,Knot Headband,2019-09-21
7195,2807,59829,5.00,4.25,48,2 Tiny Bow Clips,2019-09-21
7215,2811,57311,2.00,1.70,17,Small Ghost,2019-09-21
7216,2811,57311,2.00,1.70,17,Small Ghost,2019-09-21
7217,2812,53553,1.59,1.35,500,Singer-tapestry Needles-1,2019-09-21
7221,2813,44946,0.95,0.80,500,Stabilo 88 Markers,2019-09-21
7222,2813,45446,0.95,0.80,500,Stabilo 88 Markers,2019-09-21
7223,2813,44732,5.49,4.66,500,Aqua Flo Brush,2019-09-21
7224,2813,45237,0.99,0.84,500,Jolly-colored-pencil-sing,2019-09-21
7226,2813,45152,0.99,0.84,500,Jolly-colored-pencil-sing,2019-09-21
7227,2813,45027,0.99,0.84,500,Jolly-colored-pencil-sing,2019-09-21
7228,2813,45263,0.99,0.84,500,Jolly-colored-pencil-sing,2019-09-21
7229,2814,26455,2.00,1.70,59,41 Milk Jug W Floral,2019-09-21
7238,2814,17973,2.50,2.12,42,Fresh Pumpkin**,2019-09-21
7239,2814,58314,5.99,5.09,17,Fall Decor,2019-09-21
7240,2814,58061,20.00,17.00,20,Rustic Long Tray #20,2019-09-21
7242,2815,59074,3.00,2.55,69,Victory Kiss,2019-09-21
7244,2816,59836,12.00,10.20,48,Teething Ring,2019-09-21
7246,2816,59827,4.50,3.82,48,2 Tiny Knot Clips,2019-09-21
7247,2816,36361,5.00,4.25,48,Small Leather Bow Headban,2019-09-21
7248,2816,180430,4.00,3.40,48,Tiny Knot Headband,2019-09-21
7249,2817,56434,4.99,0.00,500,Melissa &amp; Doug-mess F,2019-09-21
7251,2817,57674,11.99,0.00,500,Toob - Ponies 12pcs,2019-09-21
7253,2818,130247,7.99,6.79,19,Vtg 76 Avon Beer Stein,2019-09-21
7254,2819,51065,3.99,3.39,500,Hampton Art- Bark Coaster,2019-09-21
7255,2819,51065,3.99,3.39,500,Hampton Art- Bark Coaster,2019-09-21
7256,2820,58919,1.00,0.85,24,Misc,2019-09-21
7257,2820,25232,1.50,1.27,24,39-misc-item,2019-09-21
7260,2823,59607,13.00,11.05,93,Solid Color Bow Set,2019-09-21
7262,2824,380,6.00,5.10,37,*medium Scarf - Print 11b,2019-09-21
7263,2824,59962,3.50,2.97,52,Vintage Tennis Racket Cas,2019-09-21
7265,2826,59029,12.00,10.20,87,Alpaca Plush Toy,2019-09-21
7266,2826,59964,6.48,0.00,500,Sign,2019-09-21
7268,2828,17230,10.00,8.50,15,Boat Basket,2019-09-21
7272,2830,43406,2.00,1.70,49,Necklace Space 78,2019-09-21
7276,2833,52545,1.90,1.61,500,Dill Buttons 262,2019-09-21
7277,2833,52545,1.90,1.61,500,Dill Buttons 262,2019-09-21
7278,2833,52545,1.90,1.61,500,Dill Buttons 262,2019-09-21
7279,2833,52071,0.80,0.68,500,Dill Buttons 408,2019-09-21
7280,2833,52071,0.80,0.68,500,Dill Buttons 408,2019-09-21
7281,2833,52071,0.80,0.68,500,Dill Buttons 408,2019-09-21
7283,2834,58884,18.00,15.30,51,Vintage Step Stool,2019-09-21
7284,2835,7802,2.95,2.50,56,#4 Purple Bottle,2019-09-21
7287,2835,18695,7.50,6.37,81,11 Lge Dark Brown Honey J,2019-09-21
7291,2836,59969,1.00,0.00,500,Cup,2019-09-21
7294,2836,59970,1.25,0.00,500,Basket,2019-09-21
7296,2836,59972,1.00,0.00,500,Calender,2019-09-21
7307,2836,59974,1.59,0.00,500,Food,2019-09-21
7309,2837,34612,3.99,3.39,2,#6 6' Fence Board,2019-09-21
7310,2837,59814,16.00,13.60,49,Tall House Shelf,2019-09-21
7312,2838,34612,3.99,3.39,2,#6 6' Fence Board,2019-09-21
7313,2838,34612,3.99,3.39,2,#6 6' Fence Board,2019-09-21
7314,2838,34612,3.99,3.39,2,#6 6' Fence Board,2019-09-21
7315,2838,34612,3.99,3.39,2,#6 6' Fence Board,2019-09-21
7316,2839,59089,3.00,2.55,69,LOL Toy,2019-09-21
7317,2839,25287,2.50,2.12,24,39 - Blue Spoon,2019-09-21
7318,2839,30734,5.00,4.25,34,Headache Balm 54,2019-09-21
7319,2839,30724,5.00,4.25,34,Slumber Pillow 54,2019-09-21
7320,2839,59998,4.99,0.00,500,Sticker Pad,2019-09-21
7321,2839,49107,2.79,2.37,500,Perler Beads 1000 Jewel T,2019-09-21
7322,2839,50421,3.99,3.39,500,Ganz 3.99,2019-09-21
7329,2842,41787,27.20,23.12,74,Hooded Romper Organic Cot,2019-09-21
7330,2842,11616,35.90,30.51,63,25 Tiered Holder Brown 3,2019-09-21
7331,2843,59999,2.10,0.00,500,Wooden Truck,2019-09-21
7332,2843,87556,4.20,0.00,500,Blue And White Sugar Bowl,2019-09-21
7333,2843,58953,1.00,0.85,54,Mini Pumpkin,2019-09-21
7334,2843,58953,1.00,0.85,54,Mini Pumpkin,2019-09-21
7335,2843,58953,1.00,0.85,54,Mini Pumpkin,2019-09-21
7336,2844,17766,5.00,4.25,69,Paris Sticky Pads,2019-09-21
7337,2844,60000,12.00,10.20,81,Microwave Bowl (2),2019-09-21
7338,2845,60001,5.00,0.00,500,#10B Earring,2019-09-21
7345,2846,60002,3.99,3.39,19,Light Blur Doily,2019-09-21
7346,2846,48546,3.49,2.96,500,Chalk Writer,2019-09-21
7349,2847,30727,4.00,3.40,34,Large Catnip Toy 54,2019-09-21
7352,2849,60004,2.99,0.00,500,Marker,2019-09-21
7354,2850,599,4.00,3.40,53,11c Koozies,2019-09-21
7358,2851,24837,1.50,0.00,500,Crafters Acrylic-yellow N,2019-09-21
7359,2851,24859,1.50,0.00,500,Crafters Acrylic-red Neon,2019-09-21
7361,2851,24754,1.50,0.00,500,Crafters Acrylic-blue Neo,2019-09-21
7362,2851,17806,2.49,0.00,500,ALT Cotton Canvas 8x10,2019-09-21
7363,2851,17806,2.49,0.00,500,ALT Cotton Canvas 8x10,2019-09-21
7157,2793,29747,10.00,8.50,89,Vintage Photo 51,2019-09-21
7156,2792,59078,3.00,2.55,69,Rustic Key Small,2019-09-21
7405,2867,48728,2.29,1.94,500,Sculpey Iii-oven Bake Cla,2019-09-21
7406,2867,48728,2.29,1.94,500,Sculpey Iii-oven Bake Cla,2019-09-21
7408,2869,58953,1.00,0.85,54,Mini Pumpkin,2019-09-21
7409,2868,17565,14.00,11.90,63,Boot Suede 9,2019-09-21
7412,2868,18333,16.99,14.44,82,XXS Julia NWT,2019-09-21
7417,2872,57651,12.95,11.00,36,Lrg Cream Pumpkin,2019-09-21
7420,2872,1097,26.00,22.10,32,Distressed Iron Candle Ho,2019-09-21
7421,2872,17544,19.50,16.57,508,6 GARLAND PUMPKINS,2019-09-21
7422,2872,8901,12.00,10.20,46,Rustic Planter/storage Bo,2019-09-21
7423,2872,12353,15.95,13.55,36,27b Laurel Wreath Wall Ha,2019-09-21
7424,2873,60037,4.00,0.00,500,Paper,2019-09-21
7426,2874,60038,20.97,0.00,500,Fabric,2019-09-21
7428,2875,1295,18.00,15.30,32,Little Fox One Piece Outf,2019-09-21
7429,2875,15708,7.00,5.95,74,BIBS Pacifier,2019-09-21
7430,2875,15708,7.00,5.95,74,BIBS Pacifier,2019-09-21
7431,2875,15708,7.00,5.95,74,BIBS Pacifier,2019-09-21
7433,2877,16719,12.00,10.20,43,Tan Shoes,2019-09-21
7438,2880,51130,2.99,0.00,500,Marabu-aqua Ink Graphix-o,2019-09-21
7439,2880,51130,2.99,0.00,500,Marabu-aqua Ink Graphix-o,2019-09-21
7444,2880,58081,8.00,6.80,51,Fall Leaf Wreath,2019-09-21
7445,2880,50983,9.99,8.49,500,Garland Chain Maple Berry,2019-09-21
7447,2881,23372,12.50,10.62,31,33 White Hanging Shelf,2019-09-21
7448,2882,17643,48.00,40.80,511,Small White Coffee Table,2019-09-21
7366,2852,59839,15.00,12.75,48,NEW Zara Dress,2019-09-21
7369,2854,18315,5.00,4.25,24,Misc,2019-09-21
7370,2854,41971,7.00,5.95,38,Mirrored Candle Screen,2019-09-21
7373,2855,8043,350.00,297.50,86,Gray Horse Painting With,2019-09-21
7374,2856,59712,13.50,11.47,501,Wooden Thankful,2019-09-21
7375,2857,60025,5.99,0.00,500,House Plant,2019-09-21
7376,2858,16106,17.98,0.00,500,1 Misc Fabric,2019-09-21
7377,2859,4034,18.00,15.30,76,Sunflower #2,2019-09-21
7379,2859,89362,29.99,25.49,17,#32 Welcome Sign,2019-09-21
7381,2860,21872,12.00,10.20,17,#32 Table Runner,2019-09-21
7382,2861,60026,0.79,0.00,500,Paper,2019-09-21
7383,2861,60027,1.00,0.00,500,Paper,2019-09-21
7384,2861,42500,8.00,6.80,61,Wood Box With Chalk Board,2019-09-21
7391,2861,60029,1.00,0.00,500,Tape,2019-09-21
7392,2862,59810,12.00,10.20,49,Lamb Figure,2019-09-21
7393,2863,18032,29.00,24.65,14,Vintage Table,2019-09-21
7398,2865,60032,5.50,0.00,500,Thread (2),2019-09-21
7399,2866,57130,1.49,1.49,500,Art Alternitive 10 Well P,2019-09-21
7400,2866,60033,10.99,0.00,500,Paint Set,2019-09-21
7401,2866,113474,11.99,11.99,500,Mixed Media Paper 9x12,2019-09-21
7450,2884,60042,12.99,0.00,500,Melissa/doug,2019-09-21
7403,2867,47200,2.29,1.94,500,Sculpey-iii-oven-bake-cla,2019-09-21
7404,2867,47169,2.29,1.94,500,Sculpey-iii-oven-bake-cla,2019-09-21
7414,2868,58757,12.00,10.20,43,Black Easel Dress,2019-09-21
7413,2868,58415,12.00,10.20,61,Shirt,2019-09-21
7411,2868,59456,17.99,15.29,17,Tan Leather Jacket,2019-09-21
7410,2868,59852,10.00,8.50,48,NEW Backpack,2019-09-21
7407,2867,60034,2.49,0.00,500,Candy,2019-09-21
7402,2866,174512,3.99,3.99,500,Zen Royal &amp; Langnicke,2019-09-21
7397,2865,60031,7.50,0.00,500,Elastic,2019-09-21
7396,2864,46034,12.99,11.04,500,Coloring Book-the Look,2019-09-21
7395,2864,60030,9.99,0.00,500,Pencil,2019-09-21
7394,2864,42972,7.00,5.95,49,Wood Look Vase,2019-09-21
7390,2861,58453,0.25,0.21,56,Scrabble Tile Or Bingo Ca,2019-09-21
7389,2861,58453,0.25,0.21,56,Scrabble Tile Or Bingo Ca,2019-09-21
7388,2861,58453,0.25,0.21,56,Scrabble Tile Or Bingo Ca,2019-09-21
7387,2861,58453,0.25,0.21,56,Scrabble Tile Or Bingo Ca,2019-09-21
7386,2861,58453,0.25,0.21,56,Scrabble Tile Or Bingo Ca,2019-09-21
7385,2861,60028,3.00,0.00,500,Box,2019-09-21
7380,2860,58835,19.00,16.15,1,Witch Pumpkin,2019-09-21
7378,2859,41785,28.00,23.80,74,Footed Romper Organic Cot,2019-09-21
7372,2854,180889,12.00,10.20,51,Square Wreath,2019-09-21
7371,2854,10834,5.75,4.88,63,25 Coffee Mug,2019-09-21
7368,2854,59853,15.00,12.75,48,Candle Display,2019-09-21
7367,2854,58486,2.50,2.12,87,Greeting Card,2019-09-21
7365,2853,57852,4.25,3.61,35,AS Seahawk Pumpkin,2019-09-21
7364,2851,17689,19.00,16.15,511,Home Sweet Home Sitter,2019-09-21
7360,2851,24686,1.50,0.00,500,Crafters Acrylic-green Ne,2019-09-21
7357,2851,24716,1.50,0.00,500,Crafters Acrylic-orange N,2019-09-21
7356,2851,50987,14.99,12.74,500,Darice-metal Safety Pin,2019-09-21
7355,2851,50987,14.99,12.74,500,Darice-metal Safety Pin,2019-09-21
7353,2850,27700,13.50,11.47,91,Wooden Duck Shelf # 47,2019-09-21
7351,2848,60003,14.99,12.74,19,Plate & Coat Rack Black M,2019-09-21
7350,2848,7458,20.00,17.00,15,18 Lg. Cross Framed Art,2019-09-21
7348,2847,26019,16.95,14.40,77,40 Yellow And Gray Square,2019-09-21
7347,2847,30772,4.99,4.24,79,Sharks Beginner Booth 55a,2019-09-21
7344,2846,49686,3.99,3.39,500,Glass Roller Ball Bottle,2019-09-21
7343,2846,48672,2.49,2.11,500,Chalkboard Table Sign,2019-09-21
7342,2846,57960,0.75,0.63,500,Mini Animal,2019-09-21
7341,2845,34908,3.49,2.96,2,#6 5 1/2' Fence Board,2019-09-21
7340,2845,34908,3.49,2.96,2,#6 5 1/2' Fence Board,2019-09-21
7339,2845,34908,3.49,2.96,2,#6 5 1/2' Fence Board,2019-09-21
7328,2841,57960,0.75,0.63,500,Mini Animal,2019-09-21
7327,2840,27014,2.50,2.12,59,41 Antique Spool Small,2019-09-21
7326,2840,27012,2.00,1.70,59,Wooden Spools,2019-09-21
7325,2840,27014,2.50,2.12,59,41 Antique Spool Small,2019-09-21
7324,2840,27012,2.00,1.70,59,Wooden Spools,2019-09-21
7323,2840,27012,2.00,1.70,59,Wooden Spools,2019-09-21
7311,2837,59997,45.98,0.00,500,Chair (2),2019-09-21
7308,2837,34908,3.49,2.96,2,#6 5 1/2' Fence Board,2019-09-21
7306,2836,48716,0.33,0.28,500,1 Misc Paper 12x12 Print,2019-09-21
7305,2836,48716,0.33,0.28,500,1 Misc Paper 12x12 Print,2019-09-21
7304,2836,48716,0.33,0.28,500,1 Misc Paper 12x12 Print,2019-09-21
7303,2836,48716,0.33,0.28,500,1 Misc Paper 12x12 Print,2019-09-21
7302,2836,48716,0.33,0.28,500,1 Misc Paper 12x12 Print,2019-09-21
7301,2836,48716,0.33,0.28,500,1 Misc Paper 12x12 Print,2019-09-21
7300,2836,48716,0.33,0.28,500,1 Misc Paper 12x12 Print,2019-09-21
7299,2836,48716,0.33,0.28,500,1 Misc Paper 12x12 Print,2019-09-21
7298,2836,48716,0.33,0.28,500,1 Misc Paper 12x12 Print,2019-09-21
7297,2836,59973,7.48,0.00,500,Calender (3),2019-09-21
7295,2836,59971,1.00,0.00,500,Book,2019-09-21
7293,2836,50277,1.99,1.69,500,Touch Of Nature 2pc Roost,2019-09-21
7292,2836,49406,3.49,2.96,500,Darice-wood Table Top Dee,2019-09-21
7290,2836,153165,1.00,0.85,59,Wood Leaf Box,2019-09-21
7289,2836,59968,3.00,0.00,500,Cooffee Sign,2019-09-21
7288,2835,802,1.00,0.85,23,#11d Bottle With Lid,2019-09-21
7286,2835,802,1.00,0.85,23,#11d Bottle With Lid,2019-09-21
7285,2835,179120,4.99,4.24,19,Glass Jar W/Cork2,2019-09-21
7282,2834,59967,24.99,21.24,17,Sign Pumpkin,2019-09-21
7275,2832,23413,4.00,3.40,31,49 Glass Canister,2019-09-21
7274,2831,59966,1.59,0.00,500,Food,2019-09-21
7273,2830,16412,2.00,1.70,49,Necklace,2019-09-21
7271,2829,26775,3.00,2.55,59,41 Tractor,2019-09-21
7270,2829,15711,5.00,4.25,81,AS-Med Cloth Pumpkin,2019-09-21
7269,2828,35149,72.00,61.20,82,Cast All Your Cares #61a,2019-09-21
7267,2827,59965,4.00,0.00,500,Handle (4),2019-09-21
